wl,n,k
1.3,3.60514,0.05442
1.301,3.60477,0.05431
1.302,3.6044,0.05419
1.303,3.60403,0.05407
1.304,3.60366,0.05396
1.305,3.6033,0.05384
1.306,3.60293,0.05373
1.307,3.60257,0.05361
1.308,3.60221,0.0535
1.309,3.60185,0.05339
1.31,3.60149,0.05327
1.311,3.60113,0.05316
1.312,3.60077,0.05305
1.313,3.60041,0.05294
1.314,3.60006,0.05283
1.315,3.5997,0.05272
1.316,3.59935,0.05261
1.317,3.599,0.0525
1.318,3.59865,0.05239
1.319,3.5983,0.05228
1.32,3.59795,0.05217
1.321,3.5976,0.05206
1.322,3.59725,0.05196
1.323,3.59691,0.05185
1.324,3.59656,0.05174
1.325,3.59622,0.05164
1.326,3.59588,0.05153
1.327,3.59554,0.05143
1.328,3.5952,0.05132
1.329,3.59486,0.05122
1.33,3.59452,0.05112
1.331,3.59418,0.05101
1.332,3.59384,0.05091
1.333,3.59351,0.05081
1.334,3.59317,0.05071
1.335,3.59284,0.0506
1.336,3.59251,0.0505
1.337,3.59218,0.0504
1.338,3.59185,0.0503
1.339,3.59152,0.0502
1.34,3.59119,0.0501
1.341,3.59086,0.05
1.342,3.59053,0.0499
1.343,3.59021,0.04981
1.344,3.58988,0.04971
1.345,3.58956,0.04961
1.346,3.58924,0.04951
1.347,3.58892,0.04942
1.348,3.5886,0.04932
1.349,3.58828,0.04922
1.35,3.58796,0.04913
1.351,3.58764,0.04903
1.352,3.58732,0.04894
1.353,3.58701,0.04884
1.354,3.58669,0.04875
1.355,3.58638,0.04866
1.356,3.58607,0.04856
1.357,3.58575,0.04847
1.358,3.58544,0.04838
1.359,3.58513,0.04828
1.36,3.58482,0.04819
1.361,3.58451,0.0481
1.362,3.58421,0.04801
1.363,3.5839,0.04792
1.364,3.58359,0.04783
1.365,3.58329,0.04774
1.366,3.58298,0.04765
1.367,3.58268,0.04756
1.368,3.58238,0.04747
1.369,3.58208,0.04738
1.37,3.58178,0.04729
1.371,3.58148,0.0472
1.372,3.58118,0.04712
1.373,3.58088,0.04703
1.374,3.58058,0.04694
1.375,3.58029,0.04685
1.376,3.57999,0.04677
1.377,3.57969,0.04668
1.378,3.5794,0.0466
1.379,3.57911,0.04651
1.38,3.57882,0.04643
1.381,3.57852,0.04634
1.382,3.57823,0.04626
1.383,3.57794,0.04617
1.384,3.57766,0.04609
1.385,3.57737,0.046
1.386,3.57708,0.04592
1.387,3.57679,0.04584
1.388,3.57651,0.04576
1.389,3.57622,0.04567
1.39,3.57594,0.04559
1.391,3.57566,0.04551
1.392,3.57537,0.04543
1.393,3.57509,0.04535
1.394,3.57481,0.04527
1.395,3.57453,0.04519
1.396,3.57425,0.04511
1.397,3.57397,0.04503
1.398,3.5737,0.04495
1.399,3.57342,0.04487
1.4,3.57314,0.04479
1.401,3.57287,0.04471
1.402,3.57259,0.04463
1.403,3.57232,0.04455
1.404,3.57205,0.04447
1.405,3.57177,0.0444
1.406,3.5715,0.04432
1.407,3.57123,0.04424
1.408,3.57096,0.04416
1.409,3.57069,0.04409
1.41,3.57042,0.04401
1.411,3.57016,0.04394
1.412,3.56989,0.04386
1.413,3.56962,0.04378
1.414,3.56936,0.04371
1.415,3.56909,0.04363
1.416,3.56883,0.04356
1.417,3.56856,0.04349
1.418,3.5683,0.04341
1.419,3.56804,0.04334
1.42,3.56778,0.04326
1.421,3.56752,0.04319
1.422,3.56726,0.04312
1.423,3.567,0.04304
1.424,3.56674,0.04297
1.425,3.56648,0.0429
1.426,3.56622,0.04283
1.427,3.56597,0.04276
1.428,3.56571,0.04268
1.429,3.56546,0.04261
1.43,3.5652,0.04254
1.431,3.56495,0.04247
1.432,3.5647,0.0424
1.433,3.56444,0.04233
1.434,3.56419,0.04226
1.435,3.56394,0.04219
1.436,3.56369,0.04212
1.437,3.56344,0.04205
1.438,3.56319,0.04198
1.439,3.56294,0.04191
1.44,3.5627,0.04184
1.441,3.56245,0.04178
1.442,3.5622,0.04171
1.443,3.56196,0.04164
1.444,3.56171,0.04157
1.445,3.56147,0.0415
1.446,3.56122,0.04144
1.447,3.56098,0.04137
1.448,3.56074,0.0413
1.449,3.5605,0.04124
1.45,3.56026,0.04117
1.451,3.56002,0.0411
1.452,3.55978,0.04104
1.453,3.55954,0.04097
1.454,3.5593,0.04091
1.455,3.55906,0.04084
1.456,3.55882,0.04078
1.457,3.55859,0.04071
1.458,3.55835,0.04065
1.459,3.55811,0.04058
1.46,3.55788,0.04052
1.461,3.55765,0.04045
1.462,3.55741,0.04039
1.463,3.55718,0.04033
1.464,3.55695,0.04026
1.465,3.55671,0.0402
1.466,3.55648,0.04014
1.467,3.55625,0.04007
1.468,3.55602,0.04001
1.469,3.55579,0.03995
1.47,3.55556,0.03989
1.471,3.55534,0.03982
1.472,3.55511,0.03976
1.473,3.55488,0.0397
1.474,3.55465,0.03964
1.475,3.55443,0.03958
1.476,3.5542,0.03952
1.477,3.55398,0.03946
1.478,3.55375,0.0394
1.479,3.55353,0.03934
1.48,3.55331,0.03928
1.481,3.55308,0.03922
1.482,3.55286,0.03916
1.483,3.55264,0.0391
1.484,3.55242,0.03904
1.485,3.5522,0.03898
1.486,3.55198,0.03892
1.487,3.55176,0.03886
1.488,3.55154,0.0388
1.489,3.55132,0.03874
1.49,3.55111,0.03868
1.491,3.55089,0.03863
1.492,3.55067,0.03857
1.493,3.55046,0.03851
1.494,3.55024,0.03845
1.495,3.55003,0.03839
1.496,3.54981,0.03834
1.497,3.5496,0.03828
1.498,3.54939,0.03822
1.499,3.54917,0.03817
1.5,3.54896,0.03811
1.501,3.54875,0.03805
1.502,3.54854,0.038
1.503,3.54833,0.03794
1.504,3.54812,0.03789
1.505,3.54791,0.03783
1.506,3.5477,0.03777
1.507,3.54749,0.03772
1.508,3.54728,0.03766
1.509,3.54708,0.03761
1.51,3.54687,0.03755
1.511,3.54666,0.0375
1.512,3.54646,0.03745
1.513,3.54625,0.03739
1.514,3.54605,0.03734
1.515,3.54584,0.03728
1.516,3.54564,0.03723
1.517,3.54544,0.03718
1.518,3.54523,0.03712
1.519,3.54503,0.03707
1.52,3.54483,0.03702
1.521,3.54463,0.03696
1.522,3.54443,0.03691
1.523,3.54423,0.03686
1.524,3.54403,0.0368
1.525,3.54383,0.03675
1.526,3.54363,0.0367
1.527,3.54343,0.03665
1.528,3.54323,0.0366
1.529,3.54303,0.03654
1.53,3.54284,0.03649
1.531,3.54264,0.03644
1.532,3.54245,0.03639
1.533,3.54225,0.03634
1.534,3.54205,0.03629
1.535,3.54186,0.03624
1.536,3.54167,0.03619
1.537,3.54147,0.03614
1.538,3.54128,0.03608
1.539,3.54109,0.03603
1.54,3.54089,0.03598
1.541,3.5407,0.03593
1.542,3.54051,0.03588
1.543,3.54032,0.03583
1.544,3.54013,0.03579
1.545,3.53994,0.03574
1.546,3.53975,0.03569
1.547,3.53956,0.03564
1.548,3.53937,0.03559
1.549,3.53918,0.03554
1.55,3.539,0.03549
1.551,3.53881,0.03544
1.552,3.53862,0.03539
1.553,3.53844,0.03535
1.554,3.53825,0.0353
1.555,3.53806,0.03525
1.556,3.53788,0.0352
1.557,3.53769,0.03515
1.558,3.53751,0.03511
1.559,3.53733,0.03506
1.56,3.53714,0.03501
1.561,3.53696,0.03496
1.562,3.53678,0.03492
1.563,3.5366,0.03487
1.564,3.53641,0.03482
1.565,3.53623,0.03478
1.566,3.53605,0.03473
1.567,3.53587,0.03468
1.568,3.53569,0.03464
1.569,3.53551,0.03459
1.57,3.53533,0.03455
1.571,3.53516,0.0345
1.572,3.53498,0.03445
1.573,3.5348,0.03441
1.574,3.53462,0.03436
1.575,3.53445,0.03432
1.576,3.53427,0.03427
1.577,3.53409,0.03423
1.578,3.53392,0.03418
1.579,3.53374,0.03414
1.58,3.53357,0.03409
1.581,3.53339,0.03405
1.582,3.53322,0.034
1.583,3.53304,0.03396
1.584,3.53287,0.03392
1.585,3.5327,0.03387
1.586,3.53253,0.03383
1.587,3.53235,0.03378
1.588,3.53218,0.03374
1.589,3.53201,0.0337
1.59,3.53184,0.03365
1.591,3.53167,0.03361
1.592,3.5315,0.03357
1.593,3.53133,0.03352
1.594,3.53116,0.03348
1.595,3.53099,0.03344
1.596,3.53082,0.03339
1.597,3.53065,0.03335
1.598,3.53049,0.03331
1.599,3.53032,0.03327
1.6,3.53015,0.03322
1.601,3.52998,0.03318
1.602,3.52982,0.03314
1.603,3.52965,0.0331
1.604,3.52949,0.03306
1.605,3.52932,0.03301
1.606,3.52916,0.03297
1.607,3.52899,0.03293
1.608,3.52883,0.03289
1.609,3.52866,0.03285
1.61,3.5285,0.03281
1.611,3.52834,0.03277
1.612,3.52818,0.03273
1.613,3.52801,0.03268
1.614,3.52785,0.03264
1.615,3.52769,0.0326
1.616,3.52753,0.03256
1.617,3.52737,0.03252
1.618,3.52721,0.03248
1.619,3.52705,0.03244
1.62,3.52689,0.0324
1.621,3.52673,0.03236
1.622,3.52657,0.03232
1.623,3.52641,0.03228
1.624,3.52625,0.03224
1.625,3.52609,0.0322
1.626,3.52594,0.03216
1.627,3.52578,0.03212
1.628,3.52562,0.03208
1.629,3.52547,0.03205
1.63,3.52531,0.03201
1.631,3.52515,0.03197
1.632,3.525,0.03193
1.633,3.52484,0.03189
1.634,3.52469,0.03185
1.635,3.52453,0.03181
1.636,3.52438,0.03177
1.637,3.52423,0.03174
1.638,3.52407,0.0317
1.639,3.52392,0.03166
1.64,3.52377,0.03162
1.641,3.52361,0.03158
1.642,3.52346,0.03154
1.643,3.52331,0.03151
1.644,3.52316,0.03147
1.645,3.52301,0.03143
1.646,3.52286,0.03139
1.647,3.52271,0.03136
1.648,3.52256,0.03132
1.649,3.52241,0.03128
1.65,3.52226,0.03124
1.651,3.52211,0.03121
1.652,3.52196,0.03117
1.653,3.52181,0.03113
1.654,3.52166,0.0311
1.655,3.52151,0.03106
1.656,3.52137,0.03102
1.657,3.52122,0.03099
1.658,3.52107,0.03095
1.659,3.52093,0.03091
1.66,3.52078,0.03088
1.661,3.52063,0.03084
1.662,3.52049,0.03081
1.663,3.52034,0.03077
1.664,3.5202,0.03073
1.665,3.52005,0.0307
1.666,3.51991,0.03066
1.667,3.51976,0.03063
1.668,3.51962,0.03059
1.669,3.51948,0.03056
1.67,3.51933,0.03052
1.671,3.51919,0.03049
1.672,3.51905,0.03045
1.673,3.51891,0.03042
1.674,3.51876,0.03038
1.675,3.51862,0.03035
1.676,3.51848,0.03031
1.677,3.51834,0.03028
1.678,3.5182,0.03024
1.679,3.51806,0.03021
1.68,3.51792,0.03017
1.681,3.51778,0.03014
1.682,3.51764,0.0301
1.683,3.5175,0.03007
1.684,3.51736,0.03004
1.685,3.51722,0.03
1.686,3.51708,0.02997
1.687,3.51695,0.02993
1.688,3.51681,0.0299
1.689,3.51667,0.02987
1.69,3.51653,0.02983
1.691,3.5164,0.0298
1.692,3.51626,0.02977
1.693,3.51612,0.02973
1.694,3.51599,0.0297
1.695,3.51585,0.02967
1.696,3.51572,0.02963
1.697,3.51558,0.0296
1.698,3.51545,0.02957
1.699,3.51531,0.02953
1.7,3.51518,0.0295
