wl,n,k
0.529,4.22953,1.03234
0.53,4.22883,1.01893
0.531,4.22794,1.00601
0.532,4.22692,0.99352
0.533,4.2258,0.98143
0.534,4.22465,0.96972
0.535,4.22349,0.95835
0.536,4.22236,0.94727
0.537,4.22127,0.93645
0.538,4.22025,0.92585
0.539,4.2193,0.91544
0.54,4.21844,0.90519
0.541,4.21767,0.89505
0.542,4.21698,0.88499
0.543,4.21638,0.875
0.544,4.21585,0.86505
0.545,4.21539,0.85511
0.546,4.21499,0.84516
0.547,4.21464,0.83519
0.548,4.21432,0.82517
0.549,4.21403,0.81509
0.55,4.21375,0.80495
0.551,4.21348,0.79473
0.552,4.21318,0.78441
0.553,4.21286,0.774
0.554,4.2125,0.76349
0.555,4.21209,0.75286
0.556,4.2116,0.74213
0.557,4.21104,0.73128
0.558,4.21039,0.72031
0.559,4.20964,0.70923
0.56,4.20878,0.69802
0.561,4.20782,0.68669
0.562,4.20672,0.6752
0.563,4.20546,0.66356
0.564,4.20402,0.65177
0.565,4.20236,0.63985
0.566,4.20049,0.62781
0.567,4.19839,0.61566
0.568,4.19604,0.6034
0.569,4.19343,0.59104
0.57,4.19056,0.5786
0.571,4.1874,0.56609
0.572,4.18396,0.55352
0.573,4.18022,0.5409
0.574,4.17618,0.52824
0.575,4.17182,0.51555
0.576,4.16713,0.50285
0.577,4.16213,0.49015
0.578,4.15678,0.47747
0.579,4.1511,0.46481
0.58,4.14507,0.4522
0.581,4.13869,0.43964
0.582,4.13196,0.42716
0.583,4.12487,0.41476
0.584,4.11743,0.40246
0.585,4.10962,0.39029
0.586,4.10145,0.37825
0.587,4.09292,0.36636
0.588,4.08403,0.35464
0.589,4.07478,0.34311
0.59,4.06517,0.33179
0.591,4.05521,0.32068
0.592,4.04489,0.30981
0.593,4.03424,0.2992
0.594,4.02324,0.28886
0.595,4.01191,0.27882
0.596,4.00026,0.26908
0.597,3.98829,0.25967
0.598,3.97601,0.25061
0.599,3.96345,0.24191
0.6,3.9506,0.23359
0.601,3.93747,0.22566
0.602,3.9241,0.21815
0.603,3.91049,0.21107
0.604,3.89665,0.20444
0.605,3.88261,0.19827
0.606,3.86838,0.19257
0.607,3.85399,0.18737
0.608,3.83945,0.18268
0.609,3.8248,0.1785
0.61,3.81005,0.17486
0.611,3.79524,0.17177
0.612,3.78039,0.16923
0.613,3.76554,0.16726
0.614,3.75071,0.16588
0.615,3.73595,0.16508
0.616,3.72131,0.16488
0.617,3.70681,0.16528
0.618,3.69253,0.16629
0.619,3.67853,0.16791
0.62,3.66489,0.17014
0.621,3.65177,0.17299
0.622,3.63942,0.17619
0.623,3.62763,0.17944
0.624,3.61625,0.18273
0.625,3.6052,0.18608
0.626,3.59445,0.18948
0.627,3.58396,0.19294
0.628,3.5737,0.19646
0.629,3.56366,0.20004
0.63,3.55382,0.20368
0.631,3.54416,0.20739
0.632,3.53467,0.21117
0.633,3.52535,0.21501
0.634,3.51618,0.21893
0.635,3.50715,0.22292
0.636,3.49826,0.22698
0.637,3.48951,0.23112
0.638,3.48088,0.23534
0.639,3.47237,0.23964
0.64,3.46398,0.24402
0.641,3.4557,0.24848
0.642,3.44753,0.25302
0.643,3.43947,0.25766
0.644,3.43152,0.26238
0.645,3.42367,0.26719
0.646,3.41591,0.27209
0.647,3.40826,0.27709
0.648,3.40071,0.28218
0.649,3.39325,0.28737
0.65,3.38589,0.29265
