wl,n,k
1.7546e-01,8.7244e-01,6.5704e-01
1.7646e-01,8.5858e-01,6.8231e-01
1.7747e-01,8.4571e-01,7.0858e-01
1.7849e-01,8.3393e-01,7.3576e-01
1.7952e-01,8.2330e-01,7.6377e-01
1.8056e-01,8.1386e-01,7.9251e-01
1.8162e-01,8.0565e-01,8.2189e-01
1.8269e-01,7.9869e-01,8.5180e-01
1.8377e-01,7.9299e-01,8.8215e-01
1.8486e-01,7.8853e-01,9.1285e-01
1.8597e-01,7.8531e-01,9.4383e-01
1.8709e-01,7.8329e-01,9.7502e-01
1.8822e-01,7.8246e-01,1.0063e+00
1.8937e-01,7.8276e-01,1.0377e+00
1.9053e-01,7.8418e-01,1.0692e+00
1.9171e-01,7.8667e-01,1.1006e+00
1.9290e-01,7.9019e-01,1.1321e+00
1.9411e-01,7.9472e-01,1.1634e+00
1.9533e-01,8.0021e-01,1.1947e+00
1.9656e-01,8.0664e-01,1.2260e+00
1.9782e-01,8.1397e-01,1.2571e+00
1.9908e-01,8.2219e-01,1.2882e+00
2.0037e-01,8.3127e-01,1.3191e+00
2.0167e-01,8.4119e-01,1.3500e+00
2.0299e-01,8.5195e-01,1.3809e+00
2.0432e-01,8.6354e-01,1.4116e+00
2.0568e-01,8.7594e-01,1.4424e+00
2.0705e-01,8.8917e-01,1.4731e+00
2.0844e-01,9.0324e-01,1.5038e+00
2.0984e-01,9.1815e-01,1.5345e+00
2.1127e-01,9.3392e-01,1.5652e+00
2.1272e-01,9.5059e-01,1.5959e+00
2.1419e-01,9.6818e-01,1.6267e+00
2.1567e-01,9.8672e-01,1.6576e+00
2.1718e-01,1.0063e+00,1.6885e+00
2.1871e-01,1.0269e+00,1.7195e+00
2.2026e-01,1.0486e+00,1.7505e+00
2.2183e-01,1.0715e+00,1.7816e+00
2.2343e-01,1.0956e+00,1.8128e+00
2.2505e-01,1.1211e+00,1.8439e+00
2.2669e-01,1.1479e+00,1.8751e+00
2.2836e-01,1.1763e+00,1.9062e+00
2.3005e-01,1.2062e+00,1.9372e+00
2.3177e-01,1.2378e+00,1.9680e+00
2.3351e-01,1.2711e+00,1.9986e+00
2.3528e-01,1.3064e+00,2.0289e+00
2.3707e-01,1.3436e+00,2.0586e+00
2.3890e-01,1.3829e+00,2.0878e+00
2.4075e-01,1.4244e+00,2.1162e+00
2.4263e-01,1.4681e+00,2.1436e+00
2.4454e-01,1.5141e+00,2.1699e+00
2.4648e-01,1.5626e+00,2.1947e+00
2.4845e-01,1.6134e+00,2.2179e+00
2.5046e-01,1.6667e+00,2.2392e+00
2.5249e-01,1.7224e+00,2.2581e+00
2.5456e-01,1.7804e+00,2.2745e+00
2.5667e-01,1.8407e+00,2.2878e+00
2.5881e-01,1.9030e+00,2.2978e+00
2.6098e-01,1.9670e+00,2.3041e+00
2.6319e-01,2.0326e+00,2.3063e+00
2.6544e-01,2.0992e+00,2.3041e+00
2.6773e-01,2.1664e+00,2.2972e+00
2.7006e-01,2.2336e+00,2.2853e+00
2.7243e-01,2.3003e+00,2.2683e+00
2.7484e-01,2.3658e+00,2.2463e+00
2.7729e-01,2.4294e+00,2.2191e+00
2.7979e-01,2.4905e+00,2.1871e+00
2.8233e-01,2.5483e+00,2.1506e+00
2.8492e-01,2.6023e+00,2.1099e+00
2.8756e-01,2.6519e+00,2.0656e+00
2.9025e-01,2.6968e+00,2.0183e+00
2.9299e-01,2.7366e+00,1.9688e+00
2.9578e-01,2.7712e+00,1.9176e+00
2.9862e-01,2.8005e+00,1.8656e+00
3.0152e-01,2.8246e+00,1.8133e+00
3.0447e-01,2.8436e+00,1.7616e+00
3.0749e-01,2.8578e+00,1.7108e+00
3.1056e-01,2.8675e+00,1.6615e+00
3.1370e-01,2.8732e+00,1.6142e+00
3.1690e-01,2.8751e+00,1.5691e+00
3.2017e-01,2.8738e+00,1.5266e+00
3.2350e-01,2.8697e+00,1.4868e+00
3.2691e-01,2.8631e+00,1.4499e+00
3.3039e-01,2.8544e+00,1.4158e+00
3.3394e-01,2.8441e+00,1.3848e+00
3.3757e-01,2.8324e+00,1.3566e+00
3.4128e-01,2.8197e+00,1.3314e+00
3.4507e-01,2.8062e+00,1.3090e+00
3.4895e-01,2.7922e+00,1.2893e+00
3.5291e-01,2.7779e+00,1.2723e+00
