wl,n,k
0.7904,2.12111,0
0.792,2.12107,0
0.7936,2.12103,0
0.7952,2.12099,0
0.7968,2.12095,0
0.7984,2.12092,0
0.8,2.12088,0
0.8016,2.12084,0
0.8032,2.1208,0
0.8048,2.12076,0
0.8064,2.12072,0
0.808,2.12069,0
0.8096,2.12065,0
0.8112,2.12061,0
0.8128,2.12057,0
0.8144,2.12054,0
0.816,2.1205,0
0.8176,2.12046,0
0.8192,2.12043,0
0.8208,2.12039,0
0.8224,2.12036,0
0.824,2.12032,0
0.8256,2.12029,0
0.8272,2.12025,0
0.8288,2.12022,0
0.8304,2.12018,0
0.832,2.12015,0
0.8336,2.12011,0
0.8352,2.12008,0
0.8368,2.12004,0
0.8384,2.12001,0
0.84,2.11998,0
0.8416,2.11994,0
0.8432,2.11991,0
0.8448,2.11988,0
0.8464,2.11985,0
0.848,2.11981,0
0.8496,2.11978,0
0.8512,2.11975,0
0.8528,2.11972,0
0.8544,2.11968,0
0.856,2.11965,0
0.8576,2.11962,0
0.8592,2.11959,0
0.8608,2.11956,0
0.8624,2.11953,0
0.864,2.1195,0
0.8656,2.11947,0
0.8672,2.11944,0
0.8688,2.11941,0
0.8704,2.11938,0
0.872,2.11935,0
0.8736,2.11932,0
0.8752,2.11929,0
0.8768,2.11926,0
0.8784,2.11923,0
0.88,2.1192,0
0.8816,2.11917,0
0.8832,2.11914,0
0.8848,2.11911,0
0.8864,2.11909,0
0.888,2.11906,0
0.8896,2.11903,0
0.8912,2.119,0
0.8928,2.11897,0
0.8944,2.11895,0
0.896,2.11892,0
0.8976,2.11889,0
0.8992,2.11886,0
0.9008,2.11884,0
0.9024,2.11881,0
0.904,2.11878,0
0.9056,2.11876,0
0.9072,2.11873,0
0.9088,2.1187,0
0.9104,2.11868,0
0.912,2.11865,0
0.9136,2.11862,0
0.9152,2.1186,0
0.9168,2.11857,0
0.9184,2.11855,0
0.92,2.11852,0
0.9216,2.1185,0
0.9232,2.11847,0
0.9248,2.11845,0
0.9264,2.11842,0
0.928,2.1184,0
0.9296,2.11837,0
0.9312,2.11835,0
0.9328,2.11832,0
0.9344,2.1183,0
0.936,2.11828,0
0.9376,2.11825,0
0.9392,2.11823,0
0.9408,2.1182,0
0.9424,2.11818,0
0.944,2.11816,0
0.9456,2.11813,0
0.9472,2.11811,0
0.9488,2.11809,0
0.9504,2.11806,0
0.952,2.11804,0
0.9536,2.11802,0
0.9552,2.118,0
0.9568,2.11797,0
0.9584,2.11795,0
0.96,2.11793,0
0.9616,2.11791,0
0.9632,2.11788,0
0.9648,2.11786,0
0.9664,2.11784,0
0.968,2.11782,0
0.9696,2.1178,0
0.9712,2.11778,0
0.9728,2.11775,0
0.9744,2.11773,0
0.976,2.11771,0
0.9776,2.11769,0
0.9792,2.11767,0
0.9808,2.11765,0
0.9824,2.11763,0
0.984,2.11761,0
0.9856,2.11759,0
0.9872,2.11757,0
0.9888,2.11754,0
0.9904,2.11752,0
0.992,2.1175,0
0.9936,2.11748,0
0.9952,2.11746,0
0.9968,2.11744,0
0.9984,2.11742,0
1,2.1174,0
