wl,sensitivity
400, 0.458694868675951
401, 0.46156558891727495
402, 0.46880022259921006
403, 0.4779536564167651
404, 0.4867481227448789
405, 0.49595356395615364
406, 0.5048017236831474
407, 0.5136202379346955
408, 0.522393653169641
409, 0.5310052967210559
410, 0.539477260437804
411, 0.5477418235530529
412, 0.5559813082098508
413, 0.5640514491926443
414, 0.5718579810944717
415, 0.5797620929993246
416, 0.5869869755575521
417, 0.5935578525709362
418, 0.599927657661842
419, 0.6060246610891584
420, 0.6122730005470096
421, 0.6188318681129771
422, 0.6249912141122186
423, 0.6311962523490842
424, 0.6377129661767517
425, 0.644231792384506
426, 0.6506234868009231
427, 0.6569454934805496
428, 0.6634664285638157
429, 0.6702001051925375
430, 0.6769573850697904
431, 0.6844775085293282
432, 0.691582613981822
433, 0.6979769075794369
434, 0.7044677943801367
435, 0.7107046123944458
436, 0.716583349270145
437, 0.7224855134656578
438, 0.7283822853292441
439, 0.7342665608667743
440, 0.7401591549510576
441, 0.7457149576123867
442, 0.7514484389637651
443, 0.757266783946857
444, 0.7631292778508887
445, 0.7689394647269002
446, 0.7733925668675115
447, 0.7771555377699064
448, 0.780722566344524
449, 0.7838999257994594
450, 0.7868791107234164
451, 0.7895337062278311
452, 0.7919055678512422
453, 0.7939015490537628
454, 0.795375585158144
455, 0.7970918477015232
456, 0.7982064467932646
457, 0.7989065506097356
458, 0.7995311489994513
459, 0.7998378209093608
460, 0.7998295075773258
461, 0.7991986774723902
462, 0.7983282876639485
463, 0.7971798600037142
464, 0.7954312372787922
465, 0.7931458967875377
466, 0.7905116656857906
467, 0.7869722477477192
468, 0.7826916566111997
469, 0.7777125398398492
470, 0.7730112088984398
471, 0.7680292070875188
472, 0.7624466832385093
473, 0.7565586396139966
474, 0.7507346282750162
475, 0.7444711580262476
476, 0.7376472571160515
477, 0.7306007785030029
478, 0.7232640064880725
479, 0.7156076577097985
480, 0.7071036339843246
481, 0.6986784310618084
482, 0.6895624099081256
483, 0.6815748806826905
485, 0.6599891268639833
486, 0.649408484385841
487, 0.6385163714124024
488, 0.6270616159598674
489, 0.615401780555302
490, 0.6036782708699323
491, 0.5913947008661953
492, 0.5793755461543346
493, 0.5672039356629028
494, 0.555102692902377
495, 0.5427707366851964
496, 0.5301956763202662
497, 0.517541092683168
498, 0.5046521298790602
499, 0.49200602011804984
500, 0.47852839406018643
501, 0.464254950613776
502, 0.44994621460049145
503, 0.4360478316645773
504, 0.42247511465471077
505, 0.4091316976613608
506, 0.39646181991785234
507, 0.38395290253431813
508, 0.37151891156883576
509, 0.3592454399594974
510, 0.3474912926029391
511, 0.33553896495595203
512, 0.3238086963892429
513, 0.31240912395727594
514, 0.3009092127419378
515, 0.28996565966274324
516, 0.27887433026138586
517, 0.26856951508792803
518, 0.2583584189896516
519, 0.248445491772045
