wl,sensitivity
402, 0.06803174185518468
404, 0.06396240321342783
406, 0.05991136664127128
408, 0.05645271950973829
410, 0.05325423711333421
412, 0.050453304659656806
414, 0.0478791595620498
416, 0.04553348077630093
418, 0.043012094349308194
420, 0.04146788935675361
422, 0.03941503635364485
424, 0.038724023739026725
426, 0.03853287276093642
428, 0.038109248256121275
430, 0.03814227422502836
432, 0.03899751752731562
434, 0.03995961317056573
436, 0.04089548457327419
438, 0.041778370904781204
440, 0.04332606243023707
442, 0.04481081483579474
444, 0.04692640128980996
446, 0.04916279504909715
448, 0.05208636729553162
450, 0.05584717063336175
452, 0.06027384570157546
454, 0.06702885873953113
456, 0.07932047190819747
458, 0.09855918824686227
460, 0.12223390111170407
462, 0.1493073296386911
464, 0.17981327153516458
466, 0.21420335392932355
468, 0.25716804977859997
470, 0.3062696719333602
472, 0.35913049003320774
474, 0.4163102521506282
476, 0.47087114516888917
478, 0.5237475785024548
480, 0.5766185264121229
482, 0.6288811983487981
484, 0.6814644555207074
486, 0.734346449133565
488, 0.7785584597587785
490, 0.8130726183890222
492, 0.8412714476249123
494, 0.8654833206719144
496, 0.8863467524469851
498, 0.9041461083254736
500, 0.9200289079518855
502, 0.9334297947513307
504, 0.945219851184637
506, 0.9554858728711868
508, 0.9642303563322732
510, 0.9718552785529833
512, 0.9777529027415189
514, 0.9820518949854782
516, 0.9853193377103122
518, 0.9882874487394532
520, 0.990712537794751
522, 0.9923605576158993
524, 0.9934416295270381
526, 0.994039234024326
528, 0.9943433838771594
530, 0.9937380300866289
532, 0.99260012489845
534, 0.9913231578926396
536, 0.9888477134714608
538, 0.9864277127087135
540, 0.9819279381506434
542, 0.9761683225199103
544, 0.9697153006690303
546, 0.9628519690950754
548, 0.9551873895124826
550, 0.9468803768862701
552, 0.9381948959537931
554, 0.9290571536870619
556, 0.9197491833859085
558, 0.9091519619061559
560, 0.8982781413542525
562, 0.8863481955848427
564, 0.8741043766279671
566, 0.8610063971475341
568, 0.8472440761196481
570, 0.832052567537576
572, 0.8163851202809024
574, 0.7993877868608472
576, 0.781504513921129
578, 0.7621646104694355
580, 0.7410011302847281
582, 0.718035162594115
584, 0.6932356002996228
586, 0.6687510823348819
588, 0.6439130770434655
590, 0.6183198763534081
592, 0.592531245830989
594, 0.5661231595137011
596, 0.536903123905826
598, 0.5058011651491712
600, 0.476174790643194
602, 0.4479788542594233
604, 0.4202808686423469
606, 0.39305011360212605
608, 0.36673360816009937
610, 0.34149870421274087
612, 0.31748103314405807
614, 0.2970562453331952
616, 0.2802610485661923
618, 0.2649837325877379
620, 0.2507674173425657
622, 0.23812756693545312
624, 0.22664350918276888
626, 0.21637754184363123
628, 0.20673839135106575
630, 0.19792199620663198
632, 0.19024478511112775
634, 0.1833555271238777
636, 0.1771544441724554
638, 0.17175538660641543
640, 0.167215559181366
642, 0.1631051800482911
644, 0.15998015552169587
646, 0.15687431673976981
648, 0.15514082264236373
650, 0.15331155238763894
652, 0.15214831577404597
654, 0.15148549239701825
656, 0.1508785268599192
658, 0.15087849782294005
660, 0.15148700558759776
662, 0.15269532428542476
664, 0.15506676679179943
666, 0.15905197966319162
668, 0.1646014840317236
670, 0.17138427587397842
672, 0.17836430931453717
674, 0.18520003432552723
676, 0.19270714261851396
678, 0.19969778420076045
680, 0.20724373700505838
682, 0.2143282777772818
684, 0.22207180465794885
686, 0.22978291251970973
688, 0.23778827898251675
690, 0.2465386665758582
692, 0.2552596357282485
694, 0.26373965655072584
696, 0.2707502151926915
698, 0.27669485265609184
700, 0.28009270629352157
