wl,sensitivity
402, 0.09273452760577783
404, 0.08546982933893033
406, 0.0790578086990451
408, 0.0731049562437488
410, 0.06809433948123544
412, 0.06332990205504985
414, 0.05871933718181355
416, 0.05461559642271108
418, 0.050897926365380486
420, 0.04719770755658692
422, 0.04422439626942476
424, 0.041206749277162835
426, 0.03882106683900266
428, 0.03618807828603565
430, 0.033952872752271546
432, 0.03148891715276014
434, 0.02967398242577679
436, 0.028134004179306782
438, 0.026661583523543975
440, 0.025449948039590442
442, 0.024230315186875906
444, 0.023020631211280618
446, 0.02241339067481496
448, 0.021838939851605232
450, 0.021207489763296117
452, 0.02060224264488797
454, 0.020599125655902384
456, 0.020298914267127044
458, 0.02060267466695276
460, 0.02117687880168262
462, 0.022118444481552313
464, 0.02302782128451586
466, 0.023636917152114467
468, 0.024548380707560602
470, 0.025445394087149298
472, 0.02605427047626563
474, 0.026872634959767217
476, 0.0275625124441905
478, 0.02850643269933495
480, 0.029085026557378546
482, 0.029691471811288173
484, 0.03029713533994327
486, 0.030902695896048105
488, 0.03150955348263884
490, 0.032116918327961264
492, 0.03295104561491702
494, 0.033921781515576455
496, 0.03534971639662754
498, 0.03696375465087176
500, 0.038769756216647466
502, 0.040594973416907654
504, 0.04299528782196005
506, 0.04540908078692174
508, 0.04842614748670726
510, 0.05207499002883831
512, 0.055788077722166984
514, 0.06048868901049487
516, 0.06487042160112932
518, 0.06822386662899482
520, 0.07089139591486737
522, 0.07301678059150907
524, 0.07391322444746407
526, 0.07453030716331621
528, 0.07392416339748387
530, 0.07270475895777928
532, 0.07092006529470085
534, 0.06837677035220335
536, 0.06504182469092534
538, 0.06147169706121347
540, 0.05710572257581081
542, 0.052416578130579095
544, 0.049107681592216124
546, 0.0472577030993655
548, 0.04604511813941392
550, 0.0454453305444219
552, 0.045734667553471886
554, 0.047276233613874896
556, 0.05004773783855021
558, 0.0555734103162312
560, 0.0654741321747867
562, 0.08206070102751517
564, 0.10383626310270178
566, 0.13247526149277888
568, 0.17133588232277253
570, 0.22929611332507827
572, 0.2975177198315201
574, 0.3649738090833399
576, 0.43212740385530046
578, 0.4990692457609285
580, 0.5658329704827325
582, 0.6326019853376779
584, 0.6924510211102906
586, 0.7462179840133494
588, 0.7989817856198493
590, 0.8475001618393949
592, 0.8835718233605109
594, 0.9085885790439534
596, 0.9241340226652187
598, 0.9314023863038101
600, 0.9349849568215488
602, 0.9361738192016882
604, 0.9349582633913199
606, 0.9316964853887217
608, 0.9274024724347371
610, 0.9227380865409054
612, 0.9172040245437699
614, 0.9115327076320267
616, 0.9056796423863426
618, 0.8994796358989406
620, 0.8932572263829133
622, 0.8873917673657356
624, 0.8816675936644766
626, 0.8765138844459796
628, 0.8714402664446228
630, 0.8656488690619341
632, 0.859978474276888
634, 0.8535331694810149
636, 0.8469960420439211
638, 0.839982067153577
640, 0.8331496602257257
642, 0.8262602856262355
644, 0.818636179872511
646, 0.8111865491749455
648, 0.8035372990356959
650, 0.7957106611841417
652, 0.7871913499417222
654, 0.7779105374418129
656, 0.7673163159158192
658, 0.7564393836928591
660, 0.7452595699631731
662, 0.7343783222323861
664, 0.7238086222144139
666, 0.7138397150797899
668, 0.7047738117717193
670, 0.6960316662888097
672, 0.6872979837822808
674, 0.6778740634953326
676, 0.6691582421857021
678, 0.6608975807789119
680, 0.6531378328162415
682, 0.6464767602784152
684, 0.6407872665958637
686, 0.6367473439812006
688, 0.6338111372178235
690, 0.6323042471625713
692, 0.6323031349909112
694, 0.633841630082544
696, 0.6350333921880508
698, 0.6362649470847653
700, 0.640418390101614
